,Unnamed: 0,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC,Unnamed: 69
5,432,J1757-5322,J1757-5322,17:57:15.1,-53:22:26.3,*,*,*,51570.00,269.527,-29.936,*,*,339.637,-13.98,269.313173,-53.373996,0.008870,112.740064,-3.343e-16,*,*,51570.00,30.82,*,*,0.430,2.300,TDB,*,*,*,*,ELL1,*,0.4533,2.0865,108.89,4.016e-06,51394.1081,3.800e-06,-1.300e-06,0.5567,0.6675,CO[jcv+06],0.94,0.94,-7.44,-0.23,-0.32,7.64,*,"pkssw,htru_pks",000010100000,2001,*,*,*,*,5.34e+09,4.89e+08,1.49e+33,1.68e+33,*,*,*,*,*,6.57e+03,
6,707,J2129-0429,J2129-0429,21:29:45.0,-04:29:05.5,*,*,*,55196.00,323.316,9.788,*,*,48.912,-36.939,322.437663,-4.484886,0.007620,131.233596,*,*,*,55196.00,16.90,*,*,*,*,TDB,*,0.50,*,*,ELL1,*,0.6352,1.8550,*,*,55702.1112,*,*,0.3688,0.4371,MS,1.83,1.39,-10.16,-1.1,1.1,7.54,"GRS:2FGL_J2129.8-0428[naa+12],OPT:[bkb+1",FermiAssoc,000020000000,2011,HE,*,1.67e+00,*,*,*,*,*,*,*,*,*,*,*,
7,709,B2127+11C,J2129+1210C,21:30:01.2,+12:10:38.2,-1.300,-3.300,*,50000.00,329.218,25.481,*,*,65.03,-27.315,322.505018,12.17728,0.030529,32.755423,-5.352e-15,*,*,50000.00,67.13,*,*,1.300,2.400,TDB,*,0.64,*,*,DD,50000.0643,0.3353,2.5185,345.31,6.814e-01,*,*,*,0.9240,1.1307,NS[jcj+06],14.20,25.00,-30.80,-6.52,11.44,3.17,GC:M15,misc,000000400000,1990,*,*,1.29e+02,*,9.70e+07,1.25e+10,6.92e+33,3.43e+31,3.547,238.779,4.97e-18,9.72e+07,1.25e+10,4.11e+03,
8,889,J1141-6545,J1141-6545,11:41:07.0,-65:45:19.1,*,*,*,54637.00,219.024,-58.212,*,*,295.791,-3.863,175.279225,-65.755309,0.393899,2.538723,-2.776e-14,*,*,54637.00,116.08,*,-93.40,4.400,14.000,TDB,*,*,3.30,*,DD,51369.8546,0.1977,1.8589,42.46,1.719e-01,*,*,*,0.9883,1.2133,CO[abw+11],3.00,1.68,-7.82,-0.2,-2.7,7.2,OPT:[abw+11],"pksmb,htru_pks",000010040000,2000,*,1,*,2.97e+01,1.45e+06,1.32e+12,2.78e+33,3.09e+32,*,*,*,*,*,2.02e+02,
9,1019,J0737-3039A,J0737-3039A,07:37:51.2,-30:39:40.7,-3.820,2.130,0.870,54100.00,124.645,-51.199,*,*,245.236,-4.505,114.463535,-30.66131,0.022699,44.054069,-3.416e-15,*,*,53156.00,48.92,*,112.30,14.300,15.100,TDB,*,*,1.60,*,DDS,53155.9074,0.1023,1.4150,87.03,8.778e-02,*,*,*,1.2543,1.5594,NS[bdp+03],1.10,1.09,-3.84,-0.09,-1.0,8.96,*,"pkshl,htru_pks",000011000000,2003,"HE[cgm+07,gkj+13]",*,*,1.94e+00,2.04e+08,6.40e+09,5.94e+33,4.91e+33,4.374,22.809,1.76e-18,2.04e+08,6.39e+09,5.13e+03,
10,1072,J0737-3039B,J0737-3039B,07:37:51.2,-30:39:40.7,-3.820,2.130,0.870,54100.00,124.645,-51.199,*,*,245.236,-4.505,114.463535,-30.66131,2.773461,0.360560,-1.160e-16,*,*,53156.00,48.92,*,118.00,58.000,88.000,TDB,*,*,1.30,*,DD,53155.9074,0.1023,1.5161,267.03,8.778e-02,*,*,*,1.3903,1.7387,NS[lbk+04],1.10,1.09,-3.84,-0.09,-1.0,8.96,*,pkshl,000001000000,2004,*,*,*,1.57e+00,4.92e+07,1.59e+12,1.65e+30,1.36e+30,4.374,22.809,8.92e-16,4.93e+07,1.59e+12,7.00e-01,
11,1222,B1913+16,J1915+1606,19:15:27.9,+16:06:27.3,-1.230,-0.830,*,52984.00,293.232,38.038,*,*,49.968,2.122,288.866664,16.107607,0.059030,16.940538,-2.473e-15,*,*,52984.00,168.77,*,364.50,7.400,10.000,TDB,0.00,4.00,0.90,*,DDH,52144.9010,0.3230,2.3418,292.54,6.171e-01,*,*,*,0.8657,1.0562,NS[wnt10],5.25,5.25,6.25,0.19,4.02,5.13,*,"ar1,ar4,pksmb",000000060004,1975,*,1,1.10e+02,2.48e+01,1.09e+08,2.28e+10,1.65e+33,6.00e+31,1.484,36.933,8.62e-18,1.09e+08,2.28e+10,1.04e+03,
12,1283,J1802-2124,J1802-2124,18:02:05.3,-21:24:03.6,-0.850,4.800,1.240,53453.00,270.487,2.037,*,*,8.382,0.611,270.522232,-21.401014,0.012648,79.066424,-4.536e-16,-1.040e-25,*,53453.00,149.63,-0.000,286.00,0.370,0.740,TDB,*,*,0.77,*,ELL1,*,0.6989,3.7189,20.34,2.474e-06,53452.6333,8.600e-07,2.320e-06,0.8073,0.9818,CO[fsk+10],0.76,3.03,1.60,0.01,0.11,7.75,*,"pksmb,htru_pks",000010040000,2004,*,*,*,4.45e-01,2.76e+09,9.69e+08,1.42e+33,2.45e+33,4.875,17.564,7.20e-20,2.78e+09,9.66e+08,4.49e+03,
13,1387,B1534+12,J1537+1155,15:37:09.9,+11:55:55.4,1.482,-25.285,0.860,52077.00,228.553,30.378,*,*,19.848,48.341,234.291507,11.932065,0.037904,26.382133,-1.686e-15,1.700e-29,-1.600e-36,52077.00,11.62,-0.001,10.60,0.310,1.500,TDB,*,36.00,0.60,*,DD,52076.8271,0.4207,3.7295,283.31,2.737e-01,*,*,*,1.3037,1.6243,NS[sttw02],1.05,0.88,8.68,0.79,0.24,7.84,XRS:[kpg06b],"ar4,gb4",000000030000,1991,*,*,3.98e+01,6.63e-01,2.48e+08,9.70e+09,1.76e+33,1.59e+33,25.328,126.205,2.36e-18,2.54e+08,9.57e+09,1.67e+03,
14,1396,J1756-2251,J1756-2251,17:56:46.6,-22:51:59.3,-2.420,0.000,1.050,53563.00,269.258,0.571,*,*,6.499,0.948,269.194308,-22.866486,0.028462,35.135073,-1.256e-15,*,*,53563.00,121.20,*,10.00,0.780,1.600,TDB,*,*,0.60,*,DD,53562.7809,0.3196,2.7565,327.82,1.806e-01,*,*,*,1.0961,1.3527,NS[fsk+14],0.73,2.81,2.01,0.01,0.08,7.77,*,"pksmb,htru_pks",000010040000,2004,*,*,*,3.20e-01,4.43e+08,5.45e+09,1.74e+33,3.27e+33,2.420,8.375,1.02e-18,4.43e+08,5.44e+09,2.21e+03,
15,1442,J1906+0746,J1906+0746,19:06:48.8,+07:46:25.9,*,*,*,54289.00,289.219,30.105,*,*,41.598,0.147,286.703583,7.773861,0.144073,6.940918,-9.764e-13,5.000e-23,-1.800e-30,54289.00,217.75,*,150.00,0.600,1.700,TDB,*,0.90,0.55,*,DD,54288.9299,0.1660,1.4200,76.33,8.530e-02,*,*,*,0.8026,0.9758,NS(?)[vks+15],7.40,4.82,0.56,0.02,4.91,2.97,*,palfa,000002000000,2006,*,*,4.93e+01,3.01e+01,1.13e+05,1.73e+12,2.68e+35,4.89e+33,*,*,*,*,*,5.42e+03,
16,1719,J1525-5545,J1525-5545,15:25:28.1,-55:45:49.8,*,*,*,55891.50,244.368,-35.71,*,*,323.439,0.851,231.367225,-55.763845,0.011360,88.029085,-1.018e-15,*,*,55891.50,126.93,*,-19.00,0.540,*,TDB,*,*,0.33,*,ELL1,*,0.9903,4.7105,247.75,4.754e-06,55891.5286,-4.400e-06,-1.800e-06,0.8117,0.9873,CO[nbb+14],3.14,3.14,1.88,0.05,-1.87,5.98,*,htru_pks,000010000000,2014,*,*,*,3.25e+00,1.37e+09,1.24e+09,3.54e+33,3.59e+32,*,*,*,*,*,7.91e+03,
17,1883,J1757-1854,J1757-1854,17:57:03.7,-18:54:03.3,*,*,*,57701.00,269.303,4.537,*,*,9.966,2.877,269.265768,-18.900938,0.021497,46.517617,-5.692e-15,*,*,57701.00,378.20,*,*,0.400,1.300,TCB,*,*,0.25,*,DDH,57700.9260,0.1835,2.2378,279.34,6.058e-01,*,*,*,1.3890,1.7370,NS[cck+18],19.58,19.58,18.98,0.98,3.38,-10.76,*,htru_pks,000010000000,2018,*,*,*,9.58e+01,1.29e+08,7.61e+09,1.05e+34,2.73e+31,*,*,*,*,*,7.18e+03,
18,2093,J1048+2339,J1048+2339,10:48:43.4,+23:39:53.4,-18.700,-9.400,*,56897.00,154.452,14.879,*,*,213.172,62.139,162.18091,23.664836,0.004665,214.354785,-1.380e-15,*,*,56897.00,16.65,*,-2.40,*,*,TDB,*,*,0.17,*,ELL1,*,0.2505,0.8361,*,*,56637.5982,*,*,0.3009,0.3551,MS,2.00,2.00,14.72,1.77,-0.51,9.28,"GRS:3FGL_J1048.6+2338(?)[cck+16],OPT:CSS",FermiAssoc,000020000000,2016,HE,*,*,7.00e-01,2.46e+09,3.79e+08,1.17e+34,2.92e+33,20.930,198.453,2.01e-20,3.68e+09,3.10e+08,3.50e+04,
19,2342,J1952+2630,J1952+2630,19:52:36.8,+26:30:28.0,-6.000,0.000,*,55813.00,307.697,46.331,*,*,63.254,-0.376,298.1535,26.507798,0.020732,48.233774,-9.939e-15,*,*,55813.00,315.34,*,*,1.300,*,TDB,*,*,0.09,*,ELL1,*,0.3919,2.7982,291.54,4.085e-05,55812.8972,-3.800e-05,1.500e-05,0.9257,1.1329,CO[ltk+14],10.04,10.04,-2.07,-0.07,8.97,3.98,*,palfa,000002000000,2011,*,*,*,8.57e+00,7.69e+07,9.52e+09,1.89e+34,1.88e+32,6.000,285.596,4.25e-18,7.72e+07,9.50e+09,1.00e+04,
20,2439,J1913+1102,J1913+1102,19:13:29.0,+11:02:05.7,*,*,*,56357.00,291.671,33.102,*,*,45.25,0.194,288.371059,11.034928,0.027285,36.650165,-2.160e-16,*,*,56357.00,338.96,*,*,*,*,TDB,*,*,0.02,*,DD,56241.0297,0.2063,1.7546,264.28,8.954e-02,*,*,*,0.8780,1.0718,NS[lfa+16],7.13,7.13,1.15,0.02,5.06,3.48,*,palfa,000002000000,2016,*,*,*,1.02e+00,2.69e+09,2.12e+09,3.13e+32,6.15e+30,*,*,*,*,*,9.78e+02,
